Make,Model,Year,Price,Mileage,Body_Type,Cylinders,Transmission,Fuel_Type,Color,Location
lexus,lx-series,2012,279972,17657,SUV,8,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,s-class,2016,77283,273644,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai
maybach,other,2017,1106594,194337,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
rolls-royce,cullinan,2007,2490793,70724,SUV,12,Automatic Transmission,Gasoline,White, Dubai
audi,rs6,2024,718325,178470,Sports Car,8,Automatic Transmission,Gasoline,Grey, Dubai
ford,mustang,2017,65524,80085,Sports Car,4,Automatic Transmission,Gasoline,Silver, Dubai
jeep,grand-cherokee,2012,69055,222171,SUV,6,Automatic Transmission,Gasoline,Black, Abu Dhabi
porsche,boxster,2021,180575,138519,Soft Top Convertible,6,Automatic Transmission,Gasoline,Blue, Dubai
dodge,ram,2012,174950,129706,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai
land-rover,range-rover,2012,402937,60396,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai
cadillac,escalade,2012,382120,250599,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
dodge,ram,2006,418026,150463,Pick Up Truck,8,Automatic Transmission,Gasoline,White, Dubai
toyota,camry,2019,103911,264293,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai
mercedes-benz,c-class,2020,368568,99059,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai
ford,bronco,2014,283726,205454,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
ford,mustang,2019,20069,252053,Coupe,6,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,s-class,2009,71625,12856,Sedan,8,Automatic Transmission,Gasoline,White, Dubai
audi,a8,2010,94925,21490,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi
bmw,7-series,2012,154139,197922,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
lotus,evora,2019,408773,114478,Coupe,6,Automatic Transmission,Gasoline,White, Dubai
porsche,cayenne,2014,354757,136163,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
lexus,is-series,2005,68515,11229,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
hyundai,sonata,2014,94659,75103,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai
toyota,hilux,2011,46998,174614,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Sharjah
dodge,durango,2015,49709,69101,SUV,6,Automatic Transmission,Gasoline,White, Dubai
mini,cooper,2009,101471,109585,Hatchback,3,Automatic Transmission,Gasoline,Black, Dubai
ford,bronco,2009,249263,287363,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
honda,odyssey,2015,32786,143200,Van,6,Automatic Transmission,Gasoline,Grey, Dubai
mercedes-benz,e-class,2020,92088,274168,Coupe,6,Automatic Transmission,Gasoline,White, Dubai
toyota,hilux,2012,78646,201549,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai
land-rover,range-rover-sport,2021,81058,233699,SUV,8,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,g-class,2019,1030352,271199,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
mercedes-benz,gt,2023,2689069,117665,Coupe,8,Automatic Transmission,Gasoline,Silver, Dubai
bmw,x6,2012,203674,39680,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
nissan,patrol,2012,136926,129110,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
ford,edge,2007,24830,167044,SUV,6,Automatic Transmission,Gasoline,White, Dubai
lexus,lx600,2017,721509,16864,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai
mercedes-benz,e-class,2010,19716,75985,Sedan,6,Automatic Transmission,Gasoline,Silver, Abu Dhabi
porsche,macan,2012,138352,281136,SUV,4,Automatic Transmission,Gasoline,White, Dubai
dodge,ram,2005,459928,185631,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai
audi,s4rs4,2018,39933,76720,Soft Top Convertible,8,Automatic Transmission,Gasoline,Blue, Dubai
lexus,gs-series,2021,81600,107836,Sports Car,6,Automatic Transmission,Gasoline,Grey, Dubai
jeep,wrangler,2021,38551,178628,Hard Top Convertible,6,Automatic Transmission,Gasoline,Beige, Dubai
land-rover,range-rover,2019,146275,143105,SUV,8,Automatic Transmission,Gasoline,Gold, Ajman
toyota,yaris,2015,19286,83327,Sedan,4,Automatic Transmission,Gasoline,Black, Sharjah
mercedes-benz,a-class,2010,63425,88601,Hatchback,4,Automatic Transmission,Gasoline,Silver, Dubai
mitsubishi,pajero,2013,40762,10587,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
porsche,panamera,2018,292855,39608,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
chevrolet,silverado,2014,69388,273300,Pick Up Truck,8,Automatic Transmission,Gasoline,Red, Dubai
land-rover,range-rover-evoque,2016,68063,75472,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah
lamborghini,urus,2023,1573251,87313,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai
cadillac,ct4,2007,178858,260915,Sports Car,4,Automatic Transmission,Gasoline,Black, Dubai
porsche,carrera,2016,941807,105402,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai
cadillac,escalade,2013,415214,223810,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
land-rover,lr2,2022,13883,62415,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi
ford,figo,2012,15776,76195,Hatchback,4,Automatic Transmission,Gasoline,Silver, Dubai
porsche,panamera,2022,529821,67396,Sedan,8,Automatic Transmission,Gasoline,White, Dubai
mitsubishi,pajero,2007,47713,235336,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
gmc,sierra,2017,153750,142353,Pick Up Truck,8,Automatic Transmission,Gasoline,Grey, Abu Dhabi
lexus,rc-f,2019,98815,196696,Coupe,8,Automatic Transmission,Gasoline,Blue, Dubai
lexus,lx-series,2012,94017,43921,SUV,8,Automatic Transmission,Gasoline,White, Dubai
ford,edge,2005,29763,77508,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
ferrari,f430,2015,540076,272721,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,s-class,2017,687156,139785,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
honda,cr-v,2019,58682,39929,SUV,4,Automatic Transmission,Gasoline,Black, Sharjah
ford,f-series-pickup,2022,227155,76145,Pick Up Truck,6,Automatic Transmission,Gasoline,White, Dubai
aston-martin,vanquish,2019,480183,169034,Coupe,12,Automatic Transmission,Gasoline,Grey, Dubai
nissan,altima,2014,63774,218602,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
volkswagen,other,2012,138050,117168,SUV,4,Automatic Transmission,Electric,Grey, Dubai
toyota,land-cruiser,2009,157787,188085,SUV,6,Automatic Transmission,Gasoline,White,Ajman
ford,explorer,2005,18255,84658,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
jaguar,xf,2024,40582,281408,Sedan,4,Automatic Transmission,Gasoline,Burgundy, Abu Dhabi
porsche,cayenne,2013,400134,240714,Coupe,6,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,e-class,2015,218432,263690,Coupe,4,Automatic Transmission,Gasoline,White, Dubai
acura,rdx,2020,89585,61814,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai
porsche,carrera,2010,373430,244852,Sports Car,6,Automatic Transmission,Gasoline,Silver, Abu Dhabi
mercedes-benz,s-class,2005,260222,283807,Coupe,8,Automatic Transmission,Gasoline,White, Dubai
nissan,patrol,2016,94669,162453,SUV,8,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,g-class,2006,1121244,30816,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai
porsche,boxster,2021,225017,181546,Soft Top Convertible,4,Automatic Transmission,Gasoline,White,Abu Dhabi
lexus,ls-series,2017,19299,205879,Sedan,6,Automatic Transmission,Gasoline,White, Sharjah
volkswagen,id4,2007,114234,56324,Crossover,4,Automatic Transmission,Electric,Grey, Dubai
lexus,is-c,2020,64927,164617,Sedan,6,Automatic Transmission,Gasoline,Black, Sharjah
audi,q5,2017,28586,97749,SUV,4,Automatic Transmission,Gasoline,Silver, Dubai
jeep,grand-cherokee,2011,350835,60693,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
ford,mustang,2007,55678,269753,Sedan,8,Automatic Transmission,Gasoline,Blue, Dubai
ford,focus,2019,19630,208025,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
jeep,grand-cherokee,2019,96829,186033,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
land-rover,range-rover-evoque,2013,70819,266603,Crossover,4,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,gle-coupe,2006,501544,15535,Coupe,8,Automatic Transmission,Gasoline,White, Dubai
audi,q5,2022,37327,172259,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai
bmw,7-series,2013,92678,299837,Sedan,6,Automatic Transmission,Gasoline,Tan, Dubai
lexus,lx600,2012,675141,279810,SUV,8,Automatic Transmission,Gasoline,Teal, Dubai
mini,countryman,2024,55071,179218,SUV,4,Automatic Transmission,Gasoline,Green, Dubai
cadillac,xt4,2005,134882,43599,SUV,4,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,s-class,2006,250930,245100,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai
ford,f-series-pickup,2012,341596,112545,Utility Truck,6,Automatic Transmission,Gasoline,Blue, Sharjah
toyota,hiace,2013,109795,237640,Van,4,Manual Transmission,Gasoline,White, Dubai
mercedes-benz,cla,2014,69890,212684,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,s-class,2020,717340,67821,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
nissan,altima,2014,56510,241042,Sedan,4,Automatic Transmission,Gasoline,Silver, Sharjah
maybach,other,2008,934639,22444,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
chevrolet,silverado,2021,96970,46042,Pick Up Truck,6,Automatic Transmission,Gasoline,Grey, Dubai
audi,s5rs5,2017,152440,184597,Coupe,6,Automatic Transmission,Gasoline,Blue, Dubai
ford,ranger,2008,104364,153090,Pick Up Truck,4,Automatic Transmission,Diesel,Silver, Dubai
maserati,quattroporte,2007,129076,269032,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai
porsche,cayman,2006,393524,199738,Sports Car,6,Manual Transmission,Gasoline,Grey, Dubai
ferrari,488-gtb,2013,818468,261023,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai
nissan,patrol,2024,156922,233446,SUV,6,Automatic Transmission,Gasoline,Gold, Dubai
mitsubishi,outlander,2019,57359,290591,SUV,4,Automatic Transmission,Gasoline,White, Dubai
dodge,charger,2005,46726,296175,Sedan,8,Automatic Transmission,Gasoline,White, Dubai
toyota,sequoia,2017,56459,193354,SUV,8,Automatic Transmission,Gasoline,White, Dubai
chevrolet,tahoe,2010,132357,142233,SUV,8,Automatic Transmission,Gasoline,Other Color, Dubai
jaguar,xj-series,2018,39768,188805,Sedan,8,Automatic Transmission,Gasoline,Gold, Dubai
mercedes-benz,glb,2014,315312,243074,SUV,4,Automatic Transmission,Gasoline,Black, Dubai
bentley,mulsanne,2020,930909,209443,Sedan,12,Automatic Transmission,Gasoline,Blue, Dubai
ford,bronco,2007,297512,20264,SUV,6,Automatic Transmission,Gasoline,Yellow, Dubai
audi,a3,2017,45737,134693,Hatchback,3,Automatic Transmission,Gasoline,Black, Dubai
nissan,patrol,2014,106885,14769,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai
chevrolet,tahoe,2009,153124,104152,SUV,8,Automatic Transmission,Gasoline,White, Dubai
nissan,murano,2024,32469,71401,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
bmw,7-series,2015,314672,138018,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai
rolls-royce,cullinan,2014,2092367,110892,SUV,12,Automatic Transmission,Gasoline,Blue, Dubai
mclaren,elva,2013,10308926,272600,Sports Car,8,Automatic Transmission,Gasoline,Black, Dubai
hyundai,azera,2018,37098,182971,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi
mazda,cx-9,2016,127331,202744,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai
nissan,xterra,2024,19428,119051,Sedan,6,Automatic Transmission,Gasoline,Black, Sharjah
jeep,wrangler,2005,477074,16116,SUV,8,Automatic Transmission,Gasoline,White, Dubai
bmw,7-series,2012,355641,230732,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai
lamborghini,urus,2016,1525843,36721,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
infiniti,qx50,2014,39888,247077,SUV,6,Automatic Transmission,Gasoline,Silver, Sharjah
nissan,murano,2021,14987,39544,SUV,6,Automatic Transmission,Gasoline,White, Dubai
nissan,sunny,2009,43056,278889,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
bmw,x7,2015,497732,28419,SUV,8,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,e-class,2024,41803,159595,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
chevrolet,camaro,2020,100838,139127,Sports Car,8,Automatic Transmission,Gasoline,Black, Dubai
dodge,charger,2009,77377,243233,Sports Car,8,Automatic Transmission,Gasoline,Black, Dubai
toyota,corolla,2012,54697,36146,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
chevrolet,silverado,2005,118754,152272,Pick Up Truck,8,Automatic Transmission,Gasoline,White, Dubai
jeep,grand-cherokee,2020,29279,226250,SUV,8,Automatic Transmission,Gasoline,Green, Dubai
land-rover,range-rover,2009,121708,221194,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai
infiniti,q80,2008,136463,238643,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai
chevrolet,corvette,2015,88024,299644,Hard Top Convertible,8,Automatic Transmission,Gasoline,Red, Dubai
cadillac,xt6,2007,182603,221215,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
toyota,fortuner,2012,169144,157742,SUV,4,Automatic Transmission,Diesel,Grey, Dubai
bentley,bentayga,2006,471537,103982,SUV,12,Automatic Transmission,Gasoline,Gold, Dubai
volkswagen,other,2018,127819,73660,Crossover,4,Automatic Transmission,Electric,Grey, Dubai
mercedes-benz,g-class,2013,1021670,87786,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
nissan,other,2011,24905,25422,Pick Up Truck,4,Manual Transmission,Diesel,White, Dubai
land-rover,range-rover,2006,316569,189963,SUV,8,Automatic Transmission,Gasoline,White, Dubai
dodge,charger,2008,19717,56673,Sedan,6,Automatic Transmission,Gasoline,Red, Dubai
nissan,altima,2008,16570,281584,Sedan,4,Automatic Transmission,Gasoline,White, Abu Dhabi
chevrolet,impala,2019,63292,246872,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
jaguar,xf,2006,17888,280896,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
nissan,patrol,2015,435213,208569,SUV,8,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,e-class,2006,243160,171704,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai
bmw,3-series,2013,85723,252050,Sedan,3,Automatic Transmission,Gasoline,White, Dubai
volvo,s-class,2023,30016,120202,Sedan,5,Automatic Transmission,Gasoline,Silver, Dubai
bmw,x1,2021,113513,202563,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai
rolls-royce,cullinan,2006,2130885,33702,SUV,12,Automatic Transmission,Gasoline,Black, Dubai
hyundai,tucson,2021,36136,198032,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai
ferrari,california,2017,335991,135653,Hard Top Convertible,8,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,g-class,2009,856445,176845,SUV,8,Automatic Transmission,Gasoline,Beige, Dubai
nissan,sunny,2011,16966,64551,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,g-class,2023,1010170,228884,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
nissan,sunny,2016,26036,294403,Other,4,Manual Transmission,Gasoline,White, Dubai
lexus,gs-series,2007,58566,94953,Sedan,6,Automatic Transmission,Gasoline,Silver,Umm Al Qawain
mazda,6,2018,39792,83560,Sedan,4,Automatic Transmission,Gasoline,Brown, Dubai
lexus,lx-series,2020,328122,264889,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai
ford,mustang,2013,72561,234717,Sports Car,4,Automatic Transmission,Gasoline,Green, Dubai
toyota,camry,2021,15220,261503,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
nissan,patrol,2005,434706,54468,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai
nissan,maxima,2015,49657,59876,Sedan,6,Automatic Transmission,Gasoline,Grey,Dubai
nissan,armada,2016,25471,243952,Van,8,Automatic Transmission,Gasoline,White, Sharjah
ford,edge,2016,70680,291302,SUV,4,Automatic Transmission,Gasoline,Gold, Dubai
lexus,is-series,2021,22373,281233,Sedan,6,Automatic Transmission,Gasoline,White, Sharjah
kia,carnival,2009,74846,61053,Van,6,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,s-class,2024,24820,18486,Sedan,8,Automatic Transmission,Gasoline,White, Dubai
cadillac,xt6,2016,227172,268274,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
nissan,pathfinder,2018,15865,168487,Crossover,6,Automatic Transmission,Gasoline,Silver, Sharjah
nissan,patrol,2006,319484,31962,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
infiniti,fx45fx35,2010,43982,91172,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
nissan,sentra,2020,42745,22580,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah
infiniti,qx56,2005,53076,11409,SUV,8,Automatic Transmission,Gasoline,Brown, Dubai
honda,odyssey,2022,49207,49760,SUV,6,Automatic Transmission,Gasoline,Black, Abu Dhabi
audi,s8,2023,408662,181614,Sedan,8,Automatic Transmission,Gasoline,White, Dubai
porsche,boxster,2013,233396,40176,Soft Top Convertible,4,Automatic Transmission,Gasoline,Orange, Dubai
ford,edge,2011,32473,242514,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
mercedes-benz,g-class,2007,1290936,91442,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
land-rover,range-rover-evoque,2023,150865,94724,Soft Top Convertible,4,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,c-class,2023,97483,266150,Sedan,4,Automatic Transmission,Gasoline,White,Dubai
ford,ranger,2021,152878,71726,Pick Up Truck,4,Automatic Transmission,Gasoline,Black, Dubai
hummer,h2,2024,165426,46405,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai
mitsubishi,asx,2012,60650,71725,Crossover,4,Manual Transmission,Gasoline,White, Dubai
nissan,maxima,2020,111524,11499,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai
mercedes-benz,s-class,2006,169273,83055,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
cadillac,escalade,2010,156628,162257,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
audi,q7,2023,43727,79470,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
volkswagen,beetle,2015,23715,222959,Coupe,4,Automatic Transmission,Gasoline,Grey, Dubai
ford,edge,2018,28772,150981,SUV,6,Automatic Transmission,Gasoline,Black, Abu Dhabi
bmw,7-series,2023,43307,227566,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai
toyota,land-cruiser,2015,148390,265366,SUV,8,Automatic Transmission,Gasoline,White, Dubai
ford,ranger,2010,99631,290758,Pick Up Truck,5,Automatic Transmission,Diesel,White, Dubai
porsche,cayenne,2019,74335,278497,SUV,6,Automatic Transmission,Gasoline,Silver, Abu Dhabi
jaguar,xf,2011,29978,289478,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai
bmw,x5,2022,534057,77089,SUV,8,Automatic Transmission,Gasoline,White, Dubai
chevrolet,camaro,2013,73049,126861,Sedan,6,Manual Transmission,Gasoline,Grey, Sharjah
mercedes-benz,g-class,2012,1194281,290051,SUV,8,Automatic Transmission,Gasoline,White, Dubai
audi,q5,2017,234791,241884,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai
nissan,patrol,2021,99573,223329,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi
dodge,ram,2013,311485,266586,SUV,8,Automatic Transmission,Diesel,Black, Sharjah
cadillac,escalade,2013,20077,122922,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
toyota,pickup,2014,115132,210793,Pick Up Truck,6,Manual Transmission,Gasoline,Grey, Dubai
jeep,wrangler-unlimited,2022,64117,251272,SUV,6,Automatic Transmission,Gasoline,White, Dubai
ford,edge,2010,23319,174469,SUV,6,Automatic Transmission,Gasoline,White, Dubai
audi,a3,2006,46819,229613,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
nissan,patrol,2015,337295,95587,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
mitsubishi,l200,2011,77898,61601,Pick Up Truck,4,Automatic Transmission,Diesel,White, Dubai
infiniti,qx70,2013,64047,126408,SUV,6,Automatic Transmission,Gasoline,Burgundy, Dubai
hyundai,sonata,2021,37184,297755,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,s-class,2018,649237,24230,Sedan,6,Automatic Transmission,Gasoline,Gold, Dubai
bmw,3-series,2018,76277,137703,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
lexus,lx-series,2006,76439,195640,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi
skoda,octavia,2023,73992,286934,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,cls-class,2012,68557,211866,Sedan,8,Automatic Transmission,Gasoline,White, Abu Dhabi
porsche,cayman,2019,278195,53788,Sports Car,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi
toyota,fortuner,2024,98668,50718,SUV,4,Automatic Transmission,Gasoline,White, Sharjah
hyundai,veloster,2023,46190,247266,Hatchback,4,Manual Transmission,Gasoline,Black, Sharjah
porsche,cayman,2017,565486,28933,Coupe,6,Automatic Transmission,Gasoline,Silver, Dubai
bmw,7-series,2010,240750,120460,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai
mercedes-benz,s-class,2008,15624,103547,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai
ford,expedition,2024,21459,273360,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah
rolls-royce,cullinan,2008,2347517,215468,SUV,12,Automatic Transmission,Gasoline,Black, Dubai
ford,taurus,2013,28049,118091,Sedan,6,Automatic Transmission,Gasoline,Purple, Dubai
nissan,tiida,2015,14914,237925,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai
bmw,7-series,2012,380746,223503,Sedan,8,Automatic Transmission,Gasoline,Green, Dubai
chevrolet,impala,2018,70069,92750,Sedan,6,Automatic Transmission,Gasoline,Burgundy, Dubai
ford,figo,2008,14897,18960,Hatchback,4,Automatic Transmission,Gasoline,White, Abu Dhabi
porsche,cayenne,2019,138707,176609,SUV,6,Automatic Transmission,Gasoline,Brown, Sharjah
bmw,x6,2009,115690,51119,SUV,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi
bmw,6-series,2011,78464,271448,Sedan,8,Automatic Transmission,Gasoline,White, Abu Dhabi
bentley,bentayga,2020,481492,65793,Coupe,8,Automatic Transmission,Gasoline,Silver, Dubai
toyota,prado,2009,113916,128554,SUV,4,Automatic Transmission,Gasoline,White, Dubai
land-rover,defender,2005,494615,38987,SUV,6,Automatic Transmission,Gasoline,Brown, Dubai
bmw,6-series,2023,78563,75722,Sedan,8,Automatic Transmission,Gasoline,White, Abu Dhabi
rolls-royce,phantom,2018,2885687,83436,SUV,12,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,s-class,2007,231805,219327,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai
toyota,rush,2017,57125,102311,SUV,4,Automatic Transmission,Gasoline,White, Dubai
maybach,other,2005,1745981,295276,Sedan,12,Automatic Transmission,Gasoline,Other Color, Dubai
alfa-romeo,giulietta,2014,98423,280307,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai
bmw,7-series,2014,69022,297695,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
toyota,prado,2011,158131,133373,SUV,6,Automatic Transmission,Gasoline,White,Dubai
bmw,x5,2018,137138,105469,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah
